ILM List,
10026583,Attenuator plug in pad 17dB for directional coupler with attenuator and equaliser adjustment function
10026584,Attenuator plug in pad 18dB for directional coupler with attenuator and equaliser adjustment function
10026585,Attenuator plug in pad 19dB for directional coupler with attenuator and equaliser adjustment function
10026586,Attenuator plug in pad 20dB for directional coupler with attenuator and equaliser adjustment function
10026587,Attenuator plug in pad 21dB for directional coupler with attenuator and equaliser adjustment function
10026588,Attenuator plug in pad 22dB for directional coupler with attenuator and equaliser adjustment function
10026589,Attenuator plug in pad 23dB for directional coupler with attenuator and equaliser adjustment function
10026590,Attenuator plug in pad 24dB for directional coupler with attenuator and equaliser adjustment function
10026591,Attenuator plug in pad 25dB for directional coupler with attenuator and equaliser adjustment function
10026592,Attenuator plug in pad 26dB for directional coupler with attenuator and equaliser adjustment function
10026593,Attenuator plug in pad 27dB for directional coupler with attenuator and equaliser adjustment function
10026594,Attenuator plug in pad 28dB for directional coupler with attenuator and equaliser adjustment function
10026595,Attenuator plug in pad 29dB for directional coupler with attenuator and equaliser adjustment function
10026596,Attenuator plug in pad 30dB for directional coupler with attenuator and equaliser adjustment function
10026597,Equaliser plug in pad 1GHz 1dB for directional coupler with attenuator and equaliser adjustment function
10026598,Equaliser plug in pad 1GHz 2dB for directional coupler with attenuator and equaliser adjustment function
10026599,Equaliser plug in pad 1GHz 3dB for directional coupler with attenuator and equaliser adjustment function
10026600,Equaliser plug in pad 1GHz 4dB for directional coupler with attenuator and equaliser adjustment function
10026601,Equaliser plug in pad 1GHz 5dB for directional coupler with attenuator and equaliser adjustment function
10026602,Equaliser plug in pad 1GHz 6dB for directional coupler with attenuator and equaliser adjustment function
10026603,Equaliser plug in pad 1GHz 7dB for directional coupler with attenuator and equaliser adjustment function
10026604,Equaliser plug in pad 1GHz 8dB for directional coupler with attenuator and equaliser adjustment function
10026605,Equaliser plug in pad 1GHz 9dB for directional coupler with attenuator and equaliser adjustment function
10026606,Equaliser plug in pad 1GHz 10dB for directional coupler with attenuator and equaliser adjustment function
10026607,Equaliser plug in pad 1GHz 11dB for directional coupler with attenuator and equaliser adjustment function
10026608,Equaliser plug in pad 1GHz 12dB for directional coupler with attenuator and equaliser adjustment function
10026609,Equaliser plug in pad 1GHz 13dB for directional coupler with attenuator and equaliser adjustment function
10026610,Equaliser plug in pad 1GHz 14dB for directional coupler with attenuator and equaliser adjustment function
10026611,Equaliser plug in pad 1GHz 15dB for directional coupler with attenuator and equaliser adjustment function
10026612,Equaliser plug in pad 1GHz 16dB for directional coupler with attenuator and equaliser adjustment function
10026613,Equaliser plug-in pad 1GHz 17dB for directional coupler with attenuator and equaliser adjustment function
10026614,Equaliser plug in pad 1GHz 18dB for directional coupler with attenuator and equaliser adjustment function
10026615,Equaliser plug in pad 1GHz 19dB for directional coupler with attenuator and equaliser adjustment function
10026616,Equaliser plug in pad 1GHz 20dB for directional coupler with attenuator and equaliser adjustment function
10026617,Equaliser plug in pad 1.2GHz 1dB for directional coupler with attenuator and equaliser adjustment function
10026618,Equaliser plug in pad 1.2GHz 2dB for directional coupler with attenuator and equaliser adjustment function
10026619,Equaliser plug in pad 1.2GHz 3dB for directional coupler with attenuator and equaliser adjustment function
10026620,Equaliser plug in pad 1.2GHz 4dB for directional coupler with attenuator and equaliser adjustment function
10026621,Equaliser plug in pad 1.2GHz 5dB for directional coupler with attenuator and equaliser adjustment function
10026622,Equaliser plug in pad 1.2GHz 6dB for directional coupler with attenuator and equaliser adjustment function
10026623,Equaliser plug in pad 1.2GHz 7dB for directional coupler with attenuator and equaliser adjustment function
10026624,Equaliser plug in pad 1.2GHz 8dB for directional coupler with attenuator and equaliser adjustment function
10026625,Equaliser plug in pad 1.2GHz 9dB for directional coupler with attenuator and equaliser adjustment function
10026626,Equaliser plug in pad 1.2GHz 10dB for directional coupler with attenuator and equaliser adjustment function
10026627,Equaliser plug in pad 1.2GHz 11dB for directional coupler with attenuator and equaliser adjustment function
10026628,Equaliser plug in pad 1.2GHz 12dB for directional coupler with attenuator and equaliser adjustment function
10026629,Equaliser plug in pad 1.2GHz 13dB for directional coupler with attenuator and equaliser adjustment function
10026630,Equaliser plug in pad 1.2GHz 14dB for directional coupler with attenuator and equaliser adjustment function
10026631,Equaliser plug in pad 1.2GHz 15dB for directional coupler with attenuator and equaliser adjustment function
10026632,Equaliser plug-in pad 1.2GHz 16dB for directional coupler with attenuator and equaliser adjustment function
10026633,Equaliser plug in pad 1.2GHz 17dB for directional coupler with attenuator and equaliser adjustment function
10026634,Equaliser plug in pad 1.2GHz 18dB for directional coupler with attenuator and equaliser adjustment function
10026635,Equaliser plug in pad 1.2GHz 19dB for directional coupler with attenuator and equaliser adjustment function
10026636,Equaliser plug in pad 1.2GHz 20dB for directional coupler with attenuator and equaliser adjustment function
10026637,Equaliser plug in pad 200MHz 1dB for directional coupler with attenuator and equaliser adjustment function
10026638,Equaliser plug in pad 200MHz 2dB for directional coupler with attenuator and equaliser adjustment function
10026639,Equaliser plug in pad 200MHz 3dB for directional coupler with attenuator and equaliser adjustment function
10026640,Equaliser plug in pad 200MHz 4dB for directional coupler with attenuator and equaliser adjustment function
10026641,Equaliser plug in pad 200MHz 5dB for directional coupler with attenuator and equaliser adjustment function
10026642,Cable optical fibre assembly with inline 1dB optical attenuator length 11inches 30cm LC/APC to LC/APC connectors
10026643,Cable optical fibre assembly with inline 2dB optical attenuator length 11inches 30cm LC/APC to LC/APC connectors
10026644,Cable optical fibre assembly with inline 3dB optical attenuator length 11inches 30cm LC/APC to LC/APC connectors
10026645,Cable optical fibre assembly with inline 4dB optical attenuator length 11inches 30cm LC/APC to LC/APC connectors
10026646,Cable optical fibre assembly with inline 5dB optical attenuator length 11inches 30cm LC/APC to LC/APC connectors
10026647,Cable QS mini coax cable purple colour 50cm long with F male to F male connectors cable swept from 5MHz to 1250MHz pass template only
10026648,Cable QS mini coax cable grey colour 50cm long with F male to F male connectors cable swept from 5MHz to 1250MHz pass template only
10026649,Cable QS mini coax cable purple colour 75cm long with F male to F male connectors cable swept from 5MHz to 1250MHz pass template only
10026650,Cable QS mini coax cable grey colour 75cm long with F male to F male connectors cable swept from 5MHz to 1250MHz pass template only
10026651,Cable QS mini coax cable purple colour 100cm long with F male to F male connectors cable swept from 5MHz to 1250MHz pass template only
10026652,Cable QS mini coax cable grey colour 100cm long with F male to F male connectors cable swept from 5MHz to 1250MHz pass template only
10026653,Attenuator inline 8dB F female to F male 5MHz to 3GHz
10026654,Attenuator inline 12dB F female to F male 5MHz to 3GHz
10026655,Attenuator inline 16dB F female to F male 5MHz to 3GHz
10026656,Equaliser inline 1.5dB F female to F male 5MHz to 1002MHz
10026657,Equaliser inline 3dB F female to F male 5MHz to 1002MHz
10026658,Equaliser inline 4.5dB F female to F male 5MHz to 1002MHz
10026659,Equaliser inline 6dB F female to F male 5MHz to 1002MHz
10026663,Cable CHP shelf interconnect 10 metre length RG14 connectors
10026664,CM8200 test unit including DOCSIS 3.1 modem 2 ethernet ports scan plan A external power supply
10026664,CM8200 test unit including DOCSIS 3.1 modem 2 ethernet ports scan plan A external power supply
10026665,OSP for 10026420 Terminal Unit Pre Terminated
10026665,OSP for 10026420 Terminal Unit Pre Terminated
10026666,CCF Cable with CHAMP connector terminated black
10026667,GPS 03Rx plus GPS Antenna rosenberger
10026668,Attenuator inline 30dB F female to F male 5MHz to 3GHz
10026669,Equaliser inline 5dB F female to F male 5MHz to 1218MHz
10026670,Equaliser inline 7dB F female to F male 5MHz to 1218MHz
10026671,Equaliser inline 8dB F female to F male 5MHz to 1218MHz
10026672,Equaliser inline 10dB F female to F male 5MHz to 1218MHz
10026673,Equaliser inline 13dB F female to F male 5MHz to 1218MHz
10026674,Equaliser inline 20dB F female to F male 5MHz to 1218MHz
10026675,Equaliser inline 33dB F female to F male 5MHz to 1218MHz
10026676,Equaliser inline 2dB F female to F male 5MHz to 200MHz
10026676,Equaliser inline 2dB F female to F male 5MHz to 200MHz
10026677,Equaliser inline 4dB F female to F male 5MHz to 200MHz
10026677,Equaliser inline 4dB F female to F male 5MHz to 200MHz
10026678,Equaliser inline 5dB F female to F male 5MHz to 200MHz
10026678,Equaliser inline 5dB F female to F male 5MHz to 200MHz
10026679,Equaliser inline 8dB F female to F male 5MHz to 200MHz
10026679,Equaliser inline 8dB F female to F male 5MHz to 200MHz
10026680,Equaliser inline 10dB F female to F male 5MHz to 200MHz
10026681,Equaliser inline 11dB F female to F male 5MHz to 200MHz
10026682,Dual speed fan kit for CHP Chassis Quantity of 8
10026683,Dual speed fan kit for CHP Chassis (Quantity of 8)
10026684,Crowbar ac surge protector for SAII and LEII Optus
10026685,SAII single module 65 88 Optus
10026686,Filter reverse for SAII and LEII amplifiers optus
10026687,PDU 4 port unit to fit SA tap Optus
10026688,Cover power supply upgrade for LEII kits optus
10026689,EOL terminator ac blocking long pin aka gilbert terminator
10026690,Cable armoured 288F submarine nords wharf
10026691,Battery back-up Unit 48Vdc 20AH lithium ion rack mount
10026692,Cable armoured 288F submarine nords wharf
10026693,Cable head end RG59 belden purple
10026694,Cable head end RG59 belden grey
10026695,Cable head end RG6 belden purple
10026696,Cable head end RG6 belden grey
10026697,Cable head end mini RG59 belden purple
10026698,Cable head end mini RG59 belden grey
10026699,Kit HEX FTTN controller boards all exclude connector interface board
10026700,Distribution cable set direct current RMX3200
10026701,Chassis earth cable RMX3200
10026702,Rack earth cable
10026703,Chassis earth cable DCD
10026704,Secondary parallel feeds DCD to DCD
10026705,HEX FTTB Cabinet Unclad
10026706,HEX FTTB Cabinet Clad
10026707,Plinth for Battery Cabinet 10026133 and 10026134
10026708,Putty DEX-036
10026709,Sealant 10B DEX-088 cartridge 225ml DEXBOND
10026710,Nozzle DEX-094 10 pack for sealant
10026711,Silica gel DEX-038 100g bag
10026712,Silica gel DEX-038 30g bag
10026713,Silica gel DEX-038 10g bag
10026714,"Navicor attenuator pad 1.4"" OM4100 0dB"
10026715,"Navicor attenuator pad 1.4"" OM4100 1dB"
10026716,"Navicor attenuator pad 1.4"" OM4100 2dB"
10026717,"Navicor attenuator pad 1.4"" OM4100 3dB"
10026718,"Navicor attenuator pad 1.4"" OM4100 4dB"
10026719,"Navicor attenuator pad 1.4"" OM4100 5dB"
10026720,"Navicor attenuator pad 1.4"" OM4100 6dB"
10026721,"Navicor attenuator pad 1.4"" OM4100 7dB"
10026722,"Navicor attenuator pad 1.4"" OM4100 8dB"
10026723,"Navicor attenuator pad 1.4"" OM4100 9dB"
10026724,"Navicor attenuator pad 1.4"" OM4100 10dB"
10026725,"Navicor attenuator pad 1.4"" OM4100 11dB"
10026726,"Navicor attenuator pad 1.4"" OM4100 12dB"
10026727,"Navicor attenuator pad 1.4"" OM4100 13dB"
10026728,"Navicor attenuator pad 1.4"" OM4100 14dB"
10026729,"Navicor attenuator pad 1.4"" OM4100 15dB"
10026730,"Navicor attenuator pad 1.4"" OM4100 16dB"
10026731,"Navicor attenuator pad 1.4"" OM4100 17dB"
10026732,"Navicor attenuator pad 1.4"" OM4100 18dB"
10026733,"Navicor attenuator pad 1.4"" OM4100 19dB"
10026734,"Navicor attenuator pad 1.4"" OM4100 20dB"
10026735,"Equalizer Linear 1.4"" GEQL Series 1GHz 8dB"
10026736,"Equalizer Linear 1.4"" GEQL Series 1GHz 9dB"
10026737,"Equalizer Linear 1.4"" GEQL Series 1GHz 10dB"
10026738,"Equalizer Linear 1.4"" GEQL Series 1GHz 11dB"
10026739,"Equalizer Linear 1.4"" GEQL Series 1GHz 12dB"
10026740,"Equalizer Linear 1.4"" GEQL Series 1GHz 13dB"
10026741,Module OM4100 power supply
10026742,OM4100 optical hub standard configuration
10026743,Forward path optical receiver 1 GHz SC APC OM4100
10026744,BOM RF MOD OM41 65 85 INT TP
10026745,Fuse auto 30A 32V fast
10026746,Bom module OM41 FWD config 1x4
10026747,Assy 4x1 reverse configuration module
10026748,Port insert long nose QUA
10026749,Bom cable assy 1x4 fwd RF OM41
10026750,Bom module om4100 reverse transmitter 1550nm SC APC no ID tone
10026751,2 Pair Dexgreen Snap Closure
10026751,2 Pair Dexgreen Snap Closure
10026752,Copper Interconnect Unit FTTC
10026752,Copper Interconnect Unit FTTC
10026753,Intermediate connection device enclosure customer premises
10026754,Cable gland 20mm for Intermediate connection device
10026755,Kit Krone Adaptor for Pillar Expansion
10026756,Equaliser variable REV 5 to 65MHz 1.5 to 4.5DB Rev EQ for SAII Optus
10026757,Equaliser variable REV 5 to 65MHz 4.5 to 7.5DB Rev EQ for SAII Optus
10026758,Equaliser variable REV 5 to 65MHz 7.5 to 12DB Rev EQ for SAII Optus
10026759,OSP for 10026133 Battery Cabinet
10026761,OSP for 10026134 for Battery Cabinet Clad
10026762,Cable kit DEM power feed RF backhaul rack
10026771,Power supply XM3 HP 1350va 63/89vac standby
10026772,Enclosure PWE3 grey pole mount lockable 3 battery capacity service power inserter 20 integrated breaker disconnect pole mounting bracket
10026773,Enclosure UPE3 grey pedestal mount lockable 3 battery capacity service power inserter 20 integrated breaker disconnect mounting plate
10026774,Transponder DM3.0 Euro DOCSIS
10026775,Cable SAG1 w/SAG alpha Apps card
10026776,Replacement key for galaxy cylinder MK1EMG
10026777,Replacement key for galaxy cylinder 1EMG 1
10026778,Removal key for galaxy cylinder 1EMG RK
10026779,Replacement codebar for galaxy cylinder 1EMG 1
10026780,Cable 3m access test jumper male Optitap to SC/APC
10026784,CM8200B Modem kit 1 including shpng unit DOCS 3.1 cable modem BRCM 3390 chipset external pwr 2 ENTport 2.0m RG6 cable quick install guide australia scan plan A FALCON-1.0.0.1-GA-08
10026785,modem DOCS 3.1 CM8200B bundle
10026786,Line card for EPG 20x1GE or 10GE
10026787,Long reach SFP+ for EPG 10G SM
10026788,Long reach SFP for EPG 1GE SM
10026789,Smart services card SSC1 V2 for EPG
10026791,Wall plate collar for F81 connector plastic
10026792,Self terminating F81 for Optus
10026793,TVL closure 24 PON port
10026794,TVL closure 48 PON port
10026926,Flylead HFC 6 series trishield 1.8m white
10026927,Flylead HFC 6 series trishield 1.5m white
10026928,Flylead HFC 6 series trishield 0.5m white
10026929,Circuit Breaker MCB 80A DC for 2RU for Battery Circuit pk 10
10026929,Circuit Breaker MCB 80A DC for 2RU for Battery Circuit pk 10
10026930,Circuit Breaker MCB 80A DC for 2RU for Main Power Supply pk 10
10026930,Circuit Breaker MCB 80A DC for 2RU for Main Power Supply pk 10
10026931,Power cable 3m 7363 ISAM MX6 DC blue and red
10026932,Signal cable IDL2
10026933,Attenuator inline optical SCAPC 30dB fixed plug-in connector type dual wavelength
10026934,Cable optical fibre patch SC/APC to SC/APC connectors length 1.0m G657A2 Soft boot
10026935,Cable optical fibre patch SC/APC to LC/APC connectors length 1.0m G657A2 Soft boot
10026936,Cable optical fibre patch LC/APC to LC/APC connectors length 1.0m G657A2 Soft boot
10026937,AGG kit ESS12 chassis bundle w/CPM5
10026938,AGG kit IMM 48 Port RevC SFP Multicore
10026939,Compact flash cover for CPM5 pack of 10 covers
10026940,Optical node Max 4100 2x2 forward 2x2 analogue return with redundancy with 50/50 splitter
10026941,Optical node Max 4100 2x2 forward 2x2 analogue return with redundancy with 70/30 splitter
10026942,Optical node Max 4100 2x2 forward 2x2 analogue return with redundancy
10026943,Optical node Max 4100 1x4 forward 4x1 analogue return with redundancy
10026944,Optical node Max 4100 1x4 forward 4x1 analogue return with redundancy with 50/50 splitter
10026945,Optical node Max 4100 1x4 forward 4x1 analogue return with redundancy with 70/30 splitter
10026946,Fuse blade type 30A
10026947,FWD equalizer GEQL 1GHz series LE0
10026948,FWD equalizer GEQL 1GHz series LE2
10026949,FWD equalizer GEQL 1GHz series LE3
10026950,FWD equalizer GEQL 1GHz series LE4
10026951,FWD equalizer GEQL 1GHz series LE5
10026952,FWD equalizer GEQL 1GHz series LE6
10026953,FWD equalizer GEQL 1GHz series LE7
10026954,FWD equalizer GEQL 1GHz series LE8
10026955,FWD equalizer GEQL 1GHz series LE9
10026956,FWD equalizer GEQL 1GHz series LE10
10026957,FWD equalizer GEQL 1GHz series LE11
10026958,FWD equalizer GEQL 1GHz series LE12
10026959,FWD equalizer GEQL 1GHz series LE13
10026960,NPB series pad attenuator 0dB
10026961,NPB series pad attenuator 1dB
10026962,NPB series pad attenuator 2dB
10026963,NPB series pad attenuator 3dB
10026964,NPB series pad attenuator 4dB
10026965,NPB series pad attenuator 5dB
10026966,NPB series pad attenuator 6dB
10026967,NPB series pad attenuator 7dB
10026968,NPB series pad attenuator 8dB
10026969,NPB series pad attenuator 9dB
10026970,NPB series pad attenuator 10dB
10026971,NPB series pad attenuator11dB
10026972,NPB series pad attenuator 12dB
10026973,NPB series pad attenuator 13dB
10026974,NPB series pad attenuator 14dB
10026975,NPB series pad attenuator 15dB
10026976,NPB series pad attenuator 16dB
10026977,NPB series pad attenuator 17dB
10026978,NPB series pad attenuator 18dB
10026979,NPB series pad attenuator 19dB
10026980,NPB series pad attenuator 20dB
10026981,NPB series 75 ohm terminator used in OM4100
10026982,1x4 FWD config Mod
10026983,Assembly printed circuit board OM4100 interface board
10026984,Assembly shroud
10026985,Terminator 75 Ohm SMZ
10026986,Surge terminator
10026987,RF cable 1x4 R forward
10026988,RF cable 2x2 R forward
10026989,2x2 Forward Configuration Module
10026990,4x1 Return Configuration Module
10026991,2x2 Return configuration module modified for the Customer
10026992,Reverse path optical transmitter 1GHZ SC/APC 1550nm 3dBm
10026993,1GHZ forward path optical Receiver SC/APC
10026994,Power supply OM 4100
10026995,Quad WDM enclosure
10026996,Dual WDM enclosure
10026997,RF amp mod OM41GH 6A1A1
10026998,A/B Switch
10026999,Optical splitter 50/50
10027000,Optical splitter 70/30
10027001,O Patchcord RTX and Splitter
10027002,Fibre service cable 30m OM4100 node Optus Only
10027003,Fibre service cable 90m for OM4100 node OPTUS ONLY
10027004,Fibre service cable 120m OM4100 node OPTUS ONLY
10027005,Centreseizure post
10027006,Daughterboard module assembly
10027007,Transponder DOCSIS 2.0
10027008,Cabinet frame first release version FTTN
10027009,Cable 7363 ISAM MX6 MDF 50m
10027010,Cable 7363 ISAM MX6 MDF 75m
10027011,Cable 7363 ISAM MX6 MDF 100m
10027012,cabinet retrofit kit FTTN
10027013,License aggregation OS 7450 ESS6/6V/7/12 R13.0 OS license payable per chassis
10027014,Compact Flash card 2GB and License OS 7210 SAS-R8 Base OS
10027084,Cable LFP Battery Kit 6mm2 PP75 0.4m
10027085,FTTN cabinet ODF fibre splice tray mounting bracket
10027086,20Port FP3 IMM Special Bundle Clause 4 3HV00913AAATACZZA policer scaling remediation agreement dated 11 Nov 2015
10027087,Kit no drill floor mounting
10027088,Equalizer I/S Var 750 MHz
10027089,AGC Jumper
10027090,Cabinet FTTN 384 Version B Kit Commscope
10027091,AC switchboard assembly Rev B
10027092,Breakaway sleeve kit
10027118,Residual current circuit breaker with overcurrent protection device 1P+N type A active switching only C Curve 6A 30mA
10027119,Residual current circuit breaker with overcurrent protection device 1P+N type A active switching only C Curve 10A 30mA
10027120,Ausrack wall 7RU no fan incl cabinet door H frame
10027121,FTTB filter BR5 225x225x10mm pack of 10
10027122,RF tnterface panel 3RU 19inch 96xF type ports with fitted D shape F type connectors and custom labels for RF Backhaul and custom mounting kit for rack top-mount fitted
10027122,RF tnterface panel 3RU 19inch 96xF type ports with fitted D shape F type connectors and custom labels for RF Backhaul and custom mounting kit for rack top-mount fitted
10027122,RF tnterface panel 3RU 19inch 96xF type ports with fitted D shape F type connectors and custom labels for RF Backhaul and custom mounting kit for rack top-mount fitted
10027123,RJ45 temp sensor
10027124,Fuse fail module kit
10027125,Voltage feed module
10027126,Low voltage disconnect kit
10027127,TFAN batt mid point monitor
10027128,cable earth 4mm2 7330 LFP 0.3 KCT10067 V1.0
10027129,VMware vCenter site recovery manager standard 25 virtual machines 3yr E LTU
10027130,Storage expansion 3PAR 24 x 600GB 8TB usable based on RAID 6
10027144,FTTN cabinet accessories kit
10027148,Switch fabric module for 7450 ESS SFM5 7 CPM5
10027149,Door NBN ARW 7RU KAX11218 FTTB
10027150,Cbl ARW MX6 rack earth KCT10064
10027151,Cbl earth 4mmx280mm 6mm lug&fork RW5217
10027152,Socket ESD 4mm telco RQ0200
10027153,Cbl earth 4mm2 MX6 PSU to EBB KCT10062
10027154,Cbl ARW MX6 battery power input 10mm2 PP75 0.7m
10027155,Cbl earth 4mm2 MX6 DSLAM KCT10063
10027156,Cbl ARW MX6 LFP to EBB earth 4mm2 0.95m KCT10066
10027157,Frame wall mount 7RU KAC10434 FTTB
10027158,RG11 Integrated Messenger flooded Quadshield aerial
10027159,Connector coaxial RG6 extended body universal compression for series 6 coaxial cable
10027160,Ethernet cable RMM1400/DEM A220606 RFBH
10027161,Ethernet cable RMM1400/RMB 2 A220606 RFBH
10027162,Underground connection unit IPX8 FP2-STD with single pole active switching only RCBO 10 Amp
10027163,Underground connection unit IPX8 FP2-VIC with single pole active switching only RCBO 10 Amp
10027164,Underground connection unit IPX8 FP2-WA with single pole active switching only RCBO 10 Amp
10027165,Underground connection unit IPX8 FP2-CCP 6AMP with single pole active switching only RCBO Vic Powercor/Citipower only 6 Amp
10027166,Pole mount small service switch unit 56-NBN with single pole active switching only RCBO 10 Amp
10027167,Pole mount small service switch unit 56-NBN-CCP with single pole active switching only RCBO Vic Powercor/Citipower only 6 Amp
10027168,Earth cable coaxial delivery panel A220606 RFBH
10027169,Serial cable 1 RMM1431/SAS R A220606 RFBH
10027170,Serial cable 2 RMM1431/SAS R A220606 RFBH
10027171,Management cable 1 RMM1431/SAS R A220606 RFBH
10027172,Management cable 2 RMM1431/SAS R A220606 RFBH
10027173,Signal cable IDL2 1m
10027174,72 fibre ribbon termite protection large full drum
10027175,144 fibre ribbon termite protection large full drum
10027176,"288 fibre ribbon, termite protection large full drum"
10027177,"432 fibre ribbon, termite protection large full drum"
10027178,576 fibre ribbon termite protection large full drum
10027179,"72 fibre, ribbon termite protection large full drum"
10027180,144 fibre ribbon termite protection large full drum
10027181,288 fibre ribbon termite protection large full drum
10027182,432 fibre ribbon termite protection large full drum
10027183,Air ramp
10027184,576 fibre ribbon termite protection large full drum
10027185,Cable management bar
10027186,EPG chassis support shelf ssr8010
10027187,EPG alarm/ switch card alsw ssr
10027188,EPG route processor/ switch card rpsw ssr
10027189,EPG fan tray ssr
10027190,Power entry module ssr
10027191,Pipe adaptor 78.4mm to 60.3mm
10027192,Screws TEK roof 120 cm antenna
10027193,Washer TEK roof 120 cm antenna
10027194,Dual forward path receiver front fiber CHP-DFRXF-12-S CHP 1.2 GHz
10027195,Equaliser 20dB to suit FM601\FM321 Amplifier
10027195,Equaliser 20dB to suit FM601\FM321 Amplifier
10027195,Equaliser 20dB to suit FM601\FM321 Amplifier
10027196,Equaliser 23dB to suit FM601\FM321 Amplifier
10027197,Equaliser 26dB to suit FM601\FM321 Amplifier
10027198,Equaliser 19dB to suit FM601\FM321 Amplifier
10027199,Equaliser 21dB to suit FM601\FM321 Amplifier
10027200,Equaliser 22dB to suit FM601\FM321 Amplifier
10027201,Equaliser 24dB to suit FM601\FM321 Amplifier
10027202,Equaliser 25dB to suit FM601\FM321 Amplifier
10027203,ESMS Optima Licence FTTx
10027282,Cable Aerial ADSS 288F Short Span 150m up to 100km Wind
10027283,Cable Aerial ADSS 288F Medium Span 250m up to 100km Wind
10027284,Cable Aerial ADSS 288F Medium Span 400m up to 100km Wind
10027285,Cable Aerial ADSS 288F Extra Long Span 600m up to 100km Wind
10027286,Microwave antenna and mount ANT2 0.9 10/11 HP
10027287,Microwave antenna and mount ANT2 0.6 10/11 HP
10027288,Microwave antenna and mount ANT2 0.6 38 HPX
10027289,Microwave antenna and mount ANT2 0.6 38 HP
10027290,Microwave antenna and mount ANT2 1.2 10/11 HPX
10027291,Microwave antenna and mount ANT2 1.2 7/8 HPX
10027292,Microwave antenna and mount ANT0 1.2 13 HPX
10027293,Microwave antenna and mount ANT2 1.2 13 HPX
10027294,Microwave antenna and mount ANT2 1.2 15 HPX
10027295,Microwave antenna and mount ANT2 1.2 18 HPX
10027296,Microwave antenna and mount ANT2 1.8 7/8 HPX
10027297,Microwave antenna and mount ANT0 1.8 13 HPX
10027298,Microwave antenna and mount ANT2 1.8 13 HPX
10027299,Microwave antenna and mount ANT2 1.8 15 HPX
10027300,Microwave antenna and mount ANT2 1.8 18 HPX
10027301,Microwave antenna and mount ANT0 1.8 6 HPX
10027302,Microwave antenna and mount ANT2 1.8 6 HPX
10027303,Microwave antenna and mount ANT0 1.2 10/11 HPX
10027304,Microwave antenna and mount ANT2 1.8 10/11 HPX
10027305,Microwave antenna and mount ANT2 0.9 7/8 HPX
10027306,Microwave antenna and mount ANT2 0.9 10/11 HPX
10027307,Microwave antenna and mount ANT2 0.9 13 HPX
10027308,Microwave antenna and mount ANT2 0.9 15 HPX
10027309,Microwave antenna and mount ANT2 0.9 18 HPX
10027310,Microwave antenna and mount ANT2 0.9 38 HPX
10027311,Microwave antenna and mount ANT2 0.6 10/11 HPX
10027312,Microwave antenna and mount ANT2 0.6 13 HPX
10027313,Microwave antenna and mount ANT2 0.6 15 HPX
10027314,Microwave antenna and mount ANT2 0.6 18 HPX
10027315,Microwave antenna and mount ANT2 0.3 13 HPX
10027316,Microwave antenna and mount ANT2 0.3 15 HPX
10027317,Microwave antenna and mount ANT2 0.3 18 HPX
10027318,Microwave antenna and mount ANT2 0.3 38 HPX
10027319,Microwave antenna and mount ANT0 1.8 10/11 HPX
10027320,Microwave antenna and mount ANT0 1.8 7/8 HPX
10027321,Microwave antenna and mount ANT0 1.2 7/8 HPX
10027322,Microwave antenna and mount ANT2 1.2 23 HPX
10027323,Microwave antenna and mount ANT2 1.8 23 HPX
10027324,Microwave antenna and mount ANT2 0.9 23 HPX
10027325,Microwave antenna and mount ANT2 0.6 23 HPX
10027326,Microwave antenna and mount ANT2 0.3 23 HPX
10027327,Redundancy cable for CHP-R4RRXF-30-L
10027328,Analog reverse transmitter OM4100 ITU channel 21 DWDM SC/APC
10027329,Analog reverse transmitter OM4100 ITU channel 23 DWDM SC/APC
10027330,Forward path optical receiver OM4100 premium high gain 1GHz w/optical AGC - SC/APC
10027331,Multiplexer 4 channel Tyco tray lowest channel 21 insertion loss flat SC/APC
10027332,Analog reverse transmitter OM4100 ITU channel 25 DWDM SC/APC
10027333,Analog reverse transmitter OM4100 ITU channel 27 DWDM SC/APC
10027334,Analog reverse transmitter OM4100 ITU channel 29 DWDM SC/APC
10027335,Analog reverse transmitter OM4100 ITU channel 31 DWDM SC/APC
10027336,Analog reverse transmitter OM4100 ITU channel 33 DWDM SC/APC
10027337,Analog reverse transmitter OM4100 ITU channel 35 DWDM SC/APC
10027338,Demultiplexer DWDM 4 wavelengths LGX spacing 200GHz ITU wavelengths lowest ch 1560.61nm 21 red upgrade and test ports connector SC/APC
10027339,Multiplexer/Demultiplexer 8 channel Tyco tray ITU 21/24/28/33/39/52/60/62
10027340,Erbium doped fibre amplifier OM41xx/TM41xx 17dBm 1 output SC/APC operating mode AGC or APC
10027341,Multiplexer DWDM 8 WL Tyco fiber D tray 152x378x13.5mm 200GHz ITU low 1560.61nm 21 upgrade and test port loss flat SC/APC fibre 900um buff 1m
10027342,License E6000 CER 24 US bundle
10027343,License E6000 CER Ann A 64 EuroDOCSIS bundle
10027344,"Demultiplexer CWII 8 fwd rtn or both Tyco B tray 300x100x12mm ITU ch 21,24,28,33,39,52,60,62 UPG & test port ins loss flat no connector 900um buff 1m"
10027345,Demultiplexer DWDM 4WL LGX ch space 200GHz lowest ch 1560.61nm 21 red upgrade & test port options ins loss flat connector SC/APC
10027346,Demultiplexer DWDM 4 wavelengths LGX connector SC/APC channel spacing 200GHz
